1.933779755e+02,3.791482188e-03
1.935834351e+02,-1.573560387e-02
1.937889099e+02,8.730494417e-03
1.939943848e+02,-1.472163573e-02
1.941998901e+02,7.193185855e-03
1.944053955e+02,-2.815672895e-03
1.946109161e+02,9.711754508e-03
1.948164520e+02,5.165247247e-03
1.950220032e+02,1.749642193e-02
1.952275696e+02,-1.230119262e-02
1.954331360e+02,2.446337231e-02
1.956387177e+02,3.358909860e-02
1.958443298e+02,1.965519600e-02
1.960499420e+02,-7.591141388e-03
1.962555695e+02,1.288449764e-02
1.964611969e+02,3.067802452e-02
1.966668549e+02,9.679046459e-03
1.968725128e+02,2.416899428e-02
1.970782013e+02,7.520272397e-03
1.972838898e+02,3.535536677e-02
1.974895935e+02,1.900102198e-02
1.976953125e+02,1.671141386e-02
1.979010315e+02,-1.197410561e-02
1.981067810e+02,-3.502555424e-03
1.983125305e+02,1.556660980e-02
1.985182953e+02,1.088926755e-02
1.987240906e+02,6.514480338e-04
1.989298706e+02,-5.857580807e-03
1.991356812e+02,-7.329471875e-03
1.993415070e+02,-3.625212994e-04
1.995473328e+02,-1.724020392e-02
1.997531891e+02,-1.007700153e-02
1.999590454e+02,-9.880749509e-03
2.001649170e+02,9.711754508e-03
2.003708038e+02,-1.406746171e-02
2.005766907e+02,4.022895917e-02
2.007826080e+02,1.772538386e-02
2.009885254e+02,-5.914820940e-04
2.011944733e+02,4.151277710e-03
2.014004211e+02,2.581260633e-03
2.016063843e+02,-3.502555424e-03
2.018123627e+02,-2.038023807e-02
2.020183411e+02,-5.334241781e-03
2.022243500e+02,3.280408680e-02
2.024303589e+02,3.039182397e-03
2.026363831e+02,2.508483827e-02
2.028424225e+02,3.349097073e-02
2.030484772e+02,1.347325370e-02
2.032545471e+02,8.536694944e-02
2.034606171e+02,1.436456572e-03
2.036667175e+02,1.010425854e-02
2.038728180e+02,9.122998454e-03
2.040789337e+02,2.446337231e-02
2.042850647e+02,2.123339102e-03
2.044912109e+02,-2.128790366e-03
2.046973724e+02,-9.717206471e-03
2.049035339e+02,-8.703236468e-03
2.051097107e+02,2.096354403e-02
2.053159180e+02,7.470391691e-02
2.055221252e+02,7.408245653e-02
2.057283478e+02,-7.165928371e-03
2.059345703e+02,3.824190702e-03
2.061408234e+02,-1.056763157e-02
2.063470764e+02,5.197955761e-03
2.065533600e+02,7.495741011e-04
2.067596436e+02,-9.128449485e-03
2.069659424e+02,1.661328785e-02
2.071722412e+02,1.046405453e-02
2.073785706e+02,2.472504228e-02
2.075848999e+02,-7.918228395e-03
2.077912598e+02,-1.537580881e-02
2.079976196e+02,1.658057980e-02
2.082039948e+02,2.156047616e-03
2.084103851e+02,5.459625274e-03
2.086167908e+02,1.533764880e-02
2.088231964e+02,1.828960842e-03
2.090296173e+02,-1.897376403e-02
2.092360687e+02,4.805451259e-03
2.094425201e+02,1.935264008e-04
2.096489868e+02,6.898807362e-03
2.098554535e+02,4.232231528e-02
2.100619507e+02,9.351959452e-03
2.102684479e+02,-1.576831378e-02
2.104749756e+02,5.786712281e-03
2.106815033e+02,1.324429270e-02
2.108880463e+02,9.286541492e-03
2.110946045e+02,3.008926660e-02
2.113011627e+02,-1.768994844e-03
2.115077515e+02,-1.605451456e-03
2.117143402e+02,1.305621816e-03
2.119209442e+02,-7.165928371e-03
2.121275635e+02,7.356729358e-03
2.123341980e+02,4.206064716e-02
2.125408478e+02,1.144531555e-02
2.127475128e+02,7.716524880e-03
2.129541779e+02,2.011311799e-02
2.131608582e+02,-8.899488486e-03
2.133675537e+02,-7.918228395e-03
2.135742645e+02,6.514480338e-04
2.137809906e+02,-1.465621777e-02
2.139877319e+02,-5.432367790e-03
2.141944733e+02,2.181397006e-02
2.144012299e+02,-1.812333986e-02
2.146080017e+02,-2.521294635e-03
2.148147888e+02,-1.465621777e-02
2.150215912e+02,-7.983645424e-03
2.152284088e+02,-1.481976174e-02
2.154352264e+02,4.478364717e-03
2.156420746e+02,6.800681353e-03
2.158489227e+02,-2.096899413e-02
2.160557861e+02,-3.240885912e-03
2.162626648e+02,4.968994763e-03
2.164695435e+02,1.170698460e-02
2.166764526e+02,1.429097075e-02
2.168833618e+02,-5.628620274e-03
2.170902863e+02,-5.072572269e-03
2.172972412e+02,3.941124305e-02
2.175041809e+02,2.276252210e-02
2.177111511e+02,5.079386756e-02
2.179181366e+02,-2.194207860e-03
2.181251221e+02,1.301533263e-02
2.183321228e+02,-6.151959300e-03
2.185391388e+02,-1.177785359e-02
2.187461700e+02,-7.656558882e-03
2.189532166e+02,-1.128722355e-02
2.191602783e+02,-1.997955609e-03
2.193673401e+02,-1.147529809e-03
2.195744171e+02,3.627938684e-03
2.197815247e+02,-2.063373104e-03
