frequency_hz,amplitude_dbm
2.775000000000000000e+09,-6.228699874877929688e+01
2.775125000000000000e+09,-6.543000030517578125e+01
2.775250000000000000e+09,-6.701899719238281250e+01
2.775375000000000000e+09,-6.892600250244140625e+01
2.775500000000000000e+09,-6.717099761962890625e+01
2.775625000000000000e+09,-6.402899932861328125e+01
2.775750000000000000e+09,-5.828099822998046875e+01
2.775875000000000000e+09,-5.393299865722656250e+01
2.776000000000000000e+09,-5.270500183105468750e+01
2.776125000000000000e+09,-5.380300140380859375e+01
2.776250000000000000e+09,-5.776399993896484375e+01
2.776375000000000000e+09,-6.251399993896484375e+01
2.776500000000000000e+09,-6.631900024414062500e+01
2.776625000000000000e+09,-6.821499633789062500e+01
2.776750000000000000e+09,-6.486799621582031250e+01
2.776875000000000000e+09,-6.210800170898437500e+01
2.777000000000000000e+09,-6.102700042724609375e+01
2.777125000000000000e+09,-6.131800079345703125e+01
2.777250000000000000e+09,-6.566100311279296875e+01
2.777375000000000000e+09,-6.966699981689453125e+01
2.777500000000000000e+09,-6.505300140380859375e+01
2.777625000000000000e+09,-6.357600021362304688e+01
2.777750000000000000e+09,-5.825500106811523438e+01
2.777875000000000000e+09,-5.367599868774414062e+01
2.778000000000000000e+09,-5.190499877929687500e+01
2.778125000000000000e+09,-5.278599929809570312e+01
2.778250000000000000e+09,-5.605199813842773438e+01
2.778375000000000000e+09,-6.111199951171875000e+01
2.778500000000000000e+09,-6.626399993896484375e+01
2.778625000000000000e+09,-6.733000183105468750e+01
2.778750000000000000e+09,-6.285200119018554688e+01
2.778875000000000000e+09,-5.830400085449218750e+01
2.779000000000000000e+09,-5.727999877929687500e+01
2.779125000000000000e+09,-5.802600097656250000e+01
2.779250000000000000e+09,-5.979499816894531250e+01
2.779375000000000000e+09,-6.542199707031250000e+01
2.779500000000000000e+09,-6.616799926757812500e+01
2.779625000000000000e+09,-6.291099929809570312e+01
2.779750000000000000e+09,-5.798400115966796875e+01
2.779875000000000000e+09,-5.314899826049804688e+01
2.780000000000000000e+09,-5.142900085449218750e+01
2.780125000000000000e+09,-5.174499893188476562e+01
2.780250000000000000e+09,-5.537400054931640625e+01
2.780375000000000000e+09,-6.091999816894531250e+01
2.780500000000000000e+09,-6.656700134277343750e+01
2.780625000000000000e+09,-6.458200073242187500e+01
2.780750000000000000e+09,-6.056700134277343750e+01
2.780875000000000000e+09,-5.617200088500976562e+01
2.781000000000000000e+09,-5.402500152587890625e+01
2.781125000000000000e+09,-5.487200164794921875e+01
2.781250000000000000e+09,-5.944599914550781250e+01
2.781375000000000000e+09,-6.446900177001953125e+01
2.781500000000000000e+09,-6.728700256347656250e+01
2.781625000000000000e+09,-6.229800033569335938e+01
2.781750000000000000e+09,-5.758599853515625000e+01
2.781875000000000000e+09,-5.266899871826171875e+01
2.782000000000000000e+09,-5.064699935913085938e+01
2.782125000000000000e+09,-5.144300079345703125e+01
2.782250000000000000e+09,-5.472600173950195312e+01
