t_seconds,normalized_ch1
0.000000000000000000e+00,1.000000000000000000e+00
3.333333333333333403e-08,1.000000000000000000e+00
6.666666666666666806e-08,1.000000000000000000e+00
9.999999999999999547e-08,1.000000000000000000e+00
1.333333333333333361e-07,1.000000000000000000e+00
1.666666666666666768e-07,1.000000000000000000e+00
1.999999999999999909e-07,1.000000000000000000e+00
2.333333333333333316e-07,1.000000000000000000e+00
2.666666666666666722e-07,1.000000000000000000e+00
2.999999999999999864e-07,1.000000000000000000e+00
3.333333333333333535e-07,1.000000000000000000e+00
3.666666666666666677e-07,1.000000000000000000e+00
3.999999999999999819e-07,1.000000000000000000e+00
4.333333333333333490e-07,1.000000000000000000e+00
4.666666666666666632e-07,1.000000000000000000e+00
4.999999999999999774e-07,1.000000000000000000e+00
5.333333333333333445e-07,1.000000000000000000e+00
5.666666666666667116e-07,1.000000000000000000e+00
5.999999999999999728e-07,1.000000000000000000e+00
6.333333333333333400e-07,1.000000000000000000e+00
6.666666666666667071e-07,1.000000000000000000e+00
6.999999999999999683e-07,1.000000000000000000e+00
7.333333333333333354e-07,1.000000000000000000e+00
7.666666666666667026e-07,1.000000000000000000e+00
7.999999999999999638e-07,1.000000000000000000e+00
8.333333333333333309e-07,1.000000000000000000e+00
8.666666666666666980e-07,1.000000000000000000e+00
8.999999999999999593e-07,1.000000000000000000e+00
9.333333333333333264e-07,1.000000000000000000e+00
9.666666666666665876e-07,1.000000000000000000e+00
9.999999999999999547e-07,0.000000000000000000e+00
1.033333333333333322e-06,0.000000000000000000e+00
1.066666666666666689e-06,0.000000000000000000e+00
1.100000000000000056e-06,0.000000000000000000e+00
1.133333333333333423e-06,0.000000000000000000e+00
1.166666666666666579e-06,0.000000000000000000e+00
1.199999999999999946e-06,0.000000000000000000e+00
1.233333333333333313e-06,0.000000000000000000e+00
1.266666666666666680e-06,0.000000000000000000e+00
1.300000000000000047e-06,0.000000000000000000e+00
1.333333333333333414e-06,0.000000000000000000e+00
1.366666666666666570e-06,0.000000000000000000e+00
1.399999999999999937e-06,0.000000000000000000e+00
1.433333333333333304e-06,0.000000000000000000e+00
1.466666666666666671e-06,0.000000000000000000e+00
1.500000000000000038e-06,0.000000000000000000e+00
1.533333333333333405e-06,0.000000000000000000e+00
1.566666666666666772e-06,0.000000000000000000e+00
1.599999999999999928e-06,0.000000000000000000e+00
1.633333333333333295e-06,0.000000000000000000e+00
1.666666666666666662e-06,0.000000000000000000e+00
1.700000000000000029e-06,0.000000000000000000e+00
1.733333333333333396e-06,0.000000000000000000e+00
1.766666666666666763e-06,0.000000000000000000e+00
1.799999999999999919e-06,0.000000000000000000e+00
1.833333333333333286e-06,0.000000000000000000e+00
1.866666666666666653e-06,0.000000000000000000e+00
1.900000000000000020e-06,0.000000000000000000e+00
1.933333333333333175e-06,0.000000000000000000e+00
1.966666666666666754e-06,0.000000000000000000e+00
1.999999999999999909e-06,0.000000000000000000e+00
2.033333333333333488e-06,0.000000000000000000e+00
2.066666666666666644e-06,0.000000000000000000e+00
2.099999999999999799e-06,0.000000000000000000e+00
2.133333333333333378e-06,0.000000000000000000e+00
2.166666666666666533e-06,0.000000000000000000e+00
2.200000000000000112e-06,0.000000000000000000e+00
2.233333333333333268e-06,0.000000000000000000e+00
2.266666666666666846e-06,0.000000000000000000e+00
