t_seconds,normalized_ch1
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000062e-09,0.000000000000000000e+00
2.000000000000000125e-09,0.000000000000000000e+00
2.999999999999999980e-09,0.000000000000000000e+00
4.000000000000000249e-09,0.000000000000000000e+00
5.000000000000000105e-09,0.000000000000000000e+00
5.999999999999999960e-09,0.000000000000000000e+00
6.999999999999999816e-09,0.000000000000000000e+00
8.000000000000000498e-09,0.000000000000000000e+00
8.999999999999999527e-09,0.000000000000000000e+00
1.000000000000000021e-08,0.000000000000000000e+00
1.099999999999999924e-08,0.000000000000000000e+00
1.199999999999999992e-08,0.000000000000000000e+00
1.300000000000000060e-08,0.000000000000000000e+00
1.399999999999999963e-08,0.000000000000000000e+00
1.499999999999999866e-08,0.000000000000000000e+00
1.600000000000000100e-08,0.000000000000000000e+00
1.700000000000000002e-08,0.000000000000000000e+00
1.799999999999999905e-08,0.000000000000000000e+00
1.900000000000000139e-08,0.000000000000000000e+00
2.000000000000000042e-08,0.000000000000000000e+00
2.099999999999999945e-08,0.000000000000000000e+00
2.199999999999999848e-08,0.000000000000000000e+00
2.300000000000000081e-08,0.000000000000000000e+00
2.399999999999999984e-08,0.000000000000000000e+00
2.499999999999999887e-08,0.000000000000000000e+00
2.600000000000000121e-08,0.000000000000000000e+00
2.700000000000000023e-08,0.000000000000000000e+00
2.799999999999999926e-08,0.000000000000000000e+00
2.900000000000000160e-08,0.000000000000000000e+00
2.999999999999999732e-08,0.000000000000000000e+00
3.099999999999999966e-08,0.000000000000000000e+00
3.200000000000000199e-08,0.000000000000000000e+00
3.299999999999999771e-08,0.000000000000000000e+00
3.400000000000000005e-08,0.000000000000000000e+00
3.500000000000000239e-08,0.000000000000000000e+00
3.599999999999999811e-08,0.000000000000000000e+00
3.700000000000000044e-08,0.000000000000000000e+00
3.800000000000000278e-08,0.000000000000000000e+00
3.899999999999999850e-08,0.000000000000000000e+00
4.000000000000000084e-08,0.000000000000000000e+00
