in s,C1 in V
-7.7088E-06,-3.93066E-01
-7.7072E-06,-3.44238E-01
-7.7056E-06,-3.00293E-01
-7.7040E-06,-2.27051E-01
-7.7024E-06,-1.48926E-01
-7.7008E-06,-6.59180E-02
-7.6992E-06,2.19727E-02
-7.6976E-06,1.24512E-01
-7.6960E-06,2.07520E-01
-7.6944E-06,2.70996E-01
-7.6928E-06,3.58887E-01
-7.6912E-06,4.07715E-01
-7.6896E-06,4.27246E-01
-7.6880E-06,4.32129E-01
-7.6864E-06,4.12598E-01
-7.6848E-06,3.78418E-01
-7.6832E-06,3.34473E-01
-7.6816E-06,2.51465E-01
-7.6800E-06,1.73340E-01
-7.6784E-06,8.54492E-02
-7.6768E-06,-2.44141E-03
-7.6752E-06,-9.03320E-02
-7.6736E-06,-1.83105E-01
-7.6720E-06,-2.66113E-01
-7.6704E-06,-3.24707E-01
-7.6688E-06,-3.54004E-01
-7.6672E-06,-3.88184E-01
-7.6656E-06,-3.93066E-01
-7.6640E-06,-3.83301E-01
-7.6624E-06,-3.54004E-01
-7.6608E-06,-3.00293E-01
-7.6592E-06,-2.46582E-01
-7.6576E-06,-1.53809E-01
-7.6560E-06,-8.54492E-02
-7.6544E-06,1.22070E-02
-7.6528E-06,1.14746E-01
-7.6512E-06,1.97754E-01
-7.6496E-06,2.85645E-01
-7.6480E-06,3.44238E-01
-7.6464E-06,3.93066E-01
-7.6448E-06,4.12598E-01
-7.6432E-06,4.27246E-01
-7.6416E-06,4.22363E-01
-7.6400E-06,3.93066E-01
-7.6384E-06,3.39355E-01
-7.6368E-06,2.66113E-01
-7.6352E-06,1.83105E-01
-7.6336E-06,1.09863E-01
-7.6320E-06,7.32422E-03
-7.6304E-06,-9.03320E-02
-7.6288E-06,-1.73340E-01
-7.6272E-06,-2.51465E-01
-7.6256E-06,-3.19824E-01
-7.6240E-06,-3.58887E-01
-7.6224E-06,-4.02832E-01
-7.6208E-06,-3.97949E-01
-7.6192E-06,-3.93066E-01
-7.6176E-06,-3.68652E-01
-7.6160E-06,-3.10059E-01
-7.6144E-06,-2.46582E-01
-7.6128E-06,-1.68457E-01
-7.6112E-06,-8.05664E-02
-7.6096E-06,1.22070E-02
-7.6080E-06,1.00098E-01
-7.6064E-06,1.83105E-01
-7.6048E-06,2.66113E-01
-7.6032E-06,3.29590E-01
-7.6016E-06,3.88184E-01
-7.6000E-06,4.12598E-01
-7.5984E-06,4.22363E-01
-7.5968E-06,4.32129E-01
-7.5952E-06,3.88184E-01
-7.5936E-06,3.44238E-01
-7.5920E-06,2.75879E-01
-7.5904E-06,1.92871E-01
-7.5888E-06,1.04980E-01
-7.5872E-06,2.68555E-02
-7.5856E-06,-6.59180E-02
-7.5840E-06,-1.63574E-01
-7.5824E-06,-2.36816E-01
-7.5808E-06,-3.10059E-01
-7.5792E-06,-3.54004E-01
-7.5776E-06,-3.93066E-01
-7.5760E-06,-4.02832E-01
-7.5744E-06,-4.02832E-01
-7.5728E-06,-3.73535E-01
-7.5712E-06,-3.05176E-01
-7.5696E-06,-2.51465E-01
-7.5680E-06,-1.78223E-01
-7.5664E-06,-9.52148E-02
-7.5648E-06,-2.44141E-03
-7.5632E-06,9.52148E-02
