in s,C1 in V,C3 in V
-2.9512E-06,4.08828E-03,-2.45617E+00
-2.9508E-06,3.30703E-03,-2.53430E+00
-2.9504E-06,3.50234E-03,-2.43664E+00
-2.9500E-06,2.33047E-03,-2.55383E+00
-2.9496E-06,2.72109E-03,-2.55383E+00
-2.9492E-06,2.91641E-03,-2.55383E+00
-2.9488E-06,3.11172E-03,-2.53430E+00
-2.9484E-06,2.33047E-03,-2.61242E+00
-2.9480E-06,2.91641E-03,-2.61242E+00
-2.9476E-06,2.13516E-03,-2.57336E+00
-2.9472E-06,2.13516E-03,-2.59289E+00
-2.9468E-06,1.54922E-03,-2.59289E+00
-2.9464E-06,1.15859E-03,-2.61242E+00
-2.9460E-06,1.82031E-04,-2.59289E+00
-2.9456E-06,-7.94531E-04,-2.59289E+00
-2.9452E-06,-2.35703E-03,-2.61242E+00
-2.9448E-06,-4.11484E-03,-2.65148E+00
-2.9444E-06,-6.45859E-03,-2.65148E+00
-2.9440E-06,-8.60703E-03,-2.61242E+00
-2.9436E-06,-1.25133E-02,-2.57336E+00
-2.9432E-06,-1.40758E-02,-2.63195E+00
-2.9428E-06,-1.70055E-02,-2.63195E+00
-2.9424E-06,-1.81773E-02,-2.63195E+00
-2.9420E-06,-1.99352E-02,-2.55383E+00
-2.9416E-06,-2.07164E-02,-2.71008E+00
-2.9412E-06,-2.26695E-02,-2.69055E+00
-2.9408E-06,-2.40367E-02,-2.59289E+00
-2.9404E-06,-2.48180E-02,-2.59289E+00
-2.9400E-06,-2.54039E-02,-2.71008E+00
-2.9396E-06,-2.61852E-02,-2.71008E+00
-2.9392E-06,-2.65758E-02,-2.59289E+00
-2.9388E-06,-2.81383E-02,-2.69055E+00
-2.9384E-06,-2.75523E-02,-2.65148E+00
-2.9380E-06,-2.71617E-02,-2.67102E+00
-2.9376E-06,-2.73570E-02,-2.67102E+00
-2.9372E-06,-2.73570E-02,-2.67102E+00
-2.9368E-06,-2.69664E-02,-2.69055E+00
-2.9364E-06,-2.61852E-02,-2.67102E+00
-2.9360E-06,-2.63805E-02,-2.59289E+00
-2.9356E-06,-2.71617E-02,-2.67102E+00
-2.9352E-06,-2.83336E-02,-2.57336E+00
-2.9348E-06,-2.95055E-02,-2.69055E+00
-2.9344E-06,-3.12633E-02,-2.61242E+00
-2.9340E-06,-3.45836E-02,-2.65148E+00
-2.9336E-06,-3.67320E-02,-2.71008E+00
