in s,C2 in V
-1.1966909E+00,2.79297E-04
-1.1966724E+00,1.74414E-03
-1.1966539E+00,3.20898E-03
-1.1966354E+00,2.23242E-03
-1.1966170E+00,1.25586E-03
-1.1965985E+00,1.74414E-03
-1.1965800E+00,1.25586E-03
-1.1965615E+00,1.74414E-03
-1.1965430E+00,2.23242E-03
-1.1965246E+00,1.25586E-03
-1.1965061E+00,1.25586E-03
-1.1964876E+00,1.74414E-03
-1.1964691E+00,2.23242E-03
-1.1964506E+00,2.23242E-03
-1.1964322E+00,1.25586E-03
-1.1964137E+00,2.23242E-03
-1.1963952E+00,1.25586E-03
-1.1963767E+00,2.72070E-03
-1.1963582E+00,1.25586E-03
-1.1963398E+00,1.25586E-03
-1.1963213E+00,2.23242E-03
-1.1963028E+00,1.25586E-03
-1.1962843E+00,2.79297E-04
-1.1962658E+00,1.74414E-03
-1.1962474E+00,2.79297E-04
-1.1962289E+00,1.25586E-03
-1.1962104E+00,2.72070E-03
-1.1961919E+00,1.25586E-03
-1.1961734E+00,1.25586E-03
-1.1961550E+00,2.23242E-03
-1.1961365E+00,1.74414E-03
-1.1961180E+00,1.25586E-03
-1.1960995E+00,1.25586E-03
-1.1960810E+00,2.23242E-03
-1.1960626E+00,2.72070E-03
-1.1960441E+00,1.25586E-03
-1.1960256E+00,2.23242E-03
-1.1960071E+00,7.67578E-04
-1.1959886E+00,2.72070E-03
-1.1959702E+00,1.74414E-03
-1.1959517E+00,1.25586E-03
-1.1959332E+00,1.25586E-03
-1.1959147E+00,1.25586E-03
-1.1958962E+00,1.25586E-03
-1.1958778E+00,1.25586E-03
-1.1958593E+00,-2.08984E-04
-1.1958408E+00,7.67578E-04
-1.1958223E+00,2.23242E-03
-1.1958038E+00,1.25586E-03
-1.1957854E+00,1.25586E-03
-1.1957669E+00,1.25586E-03
-1.1957484E+00,7.67578E-04
-1.1957299E+00,1.25586E-03
-1.1957114E+00,2.72070E-03
-1.1956930E+00,1.25586E-03
-1.1956745E+00,2.72070E-03
-1.1956560E+00,7.67578E-04
-1.1956375E+00,3.20898E-03
-1.1956190E+00,2.72070E-03
-1.1956006E+00,1.25586E-03
-1.1955821E+00,2.72070E-03
-1.1955636E+00,1.25586E-03
-1.1955451E+00,1.25586E-03
-1.1955266E+00,1.74414E-03
-1.1955082E+00,2.72070E-03
-1.1954897E+00,2.23242E-03
-1.1954712E+00,1.25586E-03
-1.1954527E+00,1.25586E-03
-1.1954342E+00,2.72070E-03
-1.1954158E+00,1.74414E-03
-1.1953973E+00,2.23242E-03
-1.1953788E+00,7.67578E-04
-1.1953603E+00,2.23242E-03
-1.1953418E+00,1.74414E-03
-1.1953234E+00,2.72070E-03
-1.1953049E+00,7.67578E-04
-1.1952864E+00,1.74414E-03
-1.1952679E+00,2.72070E-03
-1.1952494E+00,3.20898E-03
-1.1952310E+00,1.74414E-03
-1.1952125E+00,2.72070E-03
-1.1951940E+00,2.23242E-03
-1.1951755E+00,2.72070E-03
-1.1951570E+00,1.25586E-03
-1.1951386E+00,3.20898E-03
-1.1951201E+00,2.72070E-03
-1.1951016E+00,2.23242E-03
-1.1950831E+00,2.23242E-03
-1.1950646E+00,2.72070E-03
-1.1950462E+00,2.72070E-03
-1.1950277E+00,1.25586E-03
-1.1950092E+00,2.72070E-03
-1.1949907E+00,1.25586E-03
-1.1949722E+00,7.67578E-04
-1.1949538E+00,1.25586E-03
-1.1949353E+00,2.23242E-03
-1.1949168E+00,7.67578E-04
-1.1948983E+00,2.79297E-04
-1.1948798E+00,1.25586E-03
-1.1948614E+00,2.23242E-03
-1.1948429E+00,2.79297E-04
-1.1948244E+00,2.72070E-03
-1.1948059E+00,2.23242E-03
-1.1947874E+00,2.23242E-03
-1.1947690E+00,2.72070E-03
-1.1947505E+00,1.25586E-03
-1.1947320E+00,1.25586E-03
-1.1947135E+00,1.74414E-03
-1.1946950E+00,1.25586E-03
-1.1946766E+00,3.20898E-03
-1.1946581E+00,1.25586E-03
-1.1946396E+00,1.74414E-03
-1.1946211E+00,1.74414E-03
-1.1946026E+00,1.25586E-03
-1.1945842E+00,7.67578E-04
-1.1945657E+00,7.67578E-04
-1.1945472E+00,7.67578E-04
-1.1945287E+00,1.74414E-03
-1.1945102E+00,1.25586E-03
-1.1944918E+00,2.23242E-03
-1.1944733E+00,3.20898E-03
-1.1944548E+00,1.74414E-03
-1.1944363E+00,2.23242E-03
-1.1944178E+00,3.20898E-03
-1.1943994E+00,1.25586E-03
-1.1943809E+00,1.74414E-03
-1.1943624E+00,2.72070E-03
-1.1943439E+00,1.74414E-03
-1.1943254E+00,1.74414E-03
-1.1943070E+00,3.20898E-03
-1.1942885E+00,2.72070E-03
-1.1942700E+00,2.23242E-03
-1.1942515E+00,2.23242E-03
-1.1942330E+00,1.25586E-03
-1.1942146E+00,1.74414E-03
-1.1941961E+00,1.74414E-03
-1.1941776E+00,7.67578E-04
-1.1941591E+00,1.25586E-03
-1.1941406E+00,2.79297E-04
-1.1941222E+00,7.67578E-04
-1.1941037E+00,1.74414E-03
-1.1940852E+00,2.23242E-03
-1.1940667E+00,2.23242E-03
-1.1940482E+00,2.72070E-03
-1.1940298E+00,1.25586E-03
-1.1940113E+00,1.25586E-03
-1.1939928E+00,2.23242E-03
-1.1939743E+00,2.72070E-03
-1.1939558E+00,7.67578E-04
-1.1939374E+00,2.72070E-03
-1.1939189E+00,2.72070E-03
-1.1939004E+00,2.72070E-03
-1.1938819E+00,2.79297E-04
-1.1938634E+00,2.72070E-03
-1.1938450E+00,-2.08984E-04
-1.1938265E+00,2.72070E-03
-1.1938080E+00,1.25586E-03
-1.1937895E+00,2.72070E-03
-1.1937710E+00,2.72070E-03
-1.1937526E+00,1.74414E-03
-1.1937341E+00,1.25586E-03
-1.1937156E+00,1.25586E-03
-1.1936971E+00,-2.08984E-04
-1.1936786E+00,-2.08984E-04
-1.1936602E+00,1.25586E-03
-1.1936417E+00,1.74414E-03
-1.1936232E+00,2.23242E-03
-1.1936047E+00,2.23242E-03
-1.1935862E+00,1.25586E-03
-1.1935678E+00,2.72070E-03
-1.1935493E+00,1.25586E-03
-1.1935308E+00,2.72070E-03
-1.1935123E+00,1.74414E-03
-1.1934938E+00,2.72070E-03
-1.1934754E+00,1.25586E-03
-1.1934569E+00,1.25586E-03
-1.1934384E+00,2.72070E-03
-1.1934199E+00,7.67578E-04
-1.1934014E+00,2.23242E-03
-1.1933830E+00,2.23242E-03
-1.1933645E+00,2.72070E-03
-1.1933460E+00,2.23242E-03
-1.1933275E+00,2.79297E-04
-1.1933090E+00,2.23242E-03
-1.1932906E+00,7.67578E-04
-1.1932721E+00,1.74414E-03
-1.1932536E+00,1.25586E-03
-1.1932351E+00,2.72070E-03
-1.1932166E+00,1.74414E-03
-1.1931982E+00,2.23242E-03
-1.1931797E+00,2.23242E-03
-1.1931612E+00,2.72070E-03
-1.1931427E+00,2.79297E-04
-1.1931242E+00,3.20898E-03
-1.1931058E+00,1.74414E-03
-1.1930873E+00,2.23242E-03
-1.1930688E+00,2.72070E-03
-1.1930503E+00,2.72070E-03
-1.1930318E+00,1.25586E-03
-1.1930134E+00,2.72070E-03
-1.1929949E+00,2.72070E-03
-1.1929764E+00,1.25586E-03
-1.1929579E+00,1.25586E-03
-1.1929394E+00,1.25586E-03
-1.1929210E+00,2.23242E-03
-1.1929025E+00,1.25586E-03
-1.1928840E+00,2.72070E-03
-1.1928655E+00,1.25586E-03
-1.1928470E+00,2.23242E-03
-1.1928286E+00,1.74414E-03
-1.1928101E+00,2.72070E-03
-1.1927916E+00,1.25586E-03
-1.1927731E+00,2.72070E-03
-1.1927546E+00,1.74414E-03
-1.1927362E+00,2.23242E-03
-1.1927177E+00,1.25586E-03
-1.1926992E+00,3.20898E-03
-1.1926807E+00,2.23242E-03
-1.1926622E+00,1.25586E-03
-1.1926438E+00,3.20898E-03
-1.1926253E+00,1.25586E-03
-1.1926068E+00,1.25586E-03
-1.1925883E+00,1.25586E-03
-1.1925698E+00,1.74414E-03
-1.1925514E+00,7.67578E-04
-1.1925329E+00,2.23242E-03
-1.1925144E+00,1.25586E-03
-1.1924959E+00,3.20898E-03
-1.1924774E+00,1.74414E-03
-1.1924590E+00,1.25586E-03
-1.1924405E+00,1.74414E-03
-1.1924220E+00,2.23242E-03
-1.1924035E+00,7.67578E-04
