in s,C2 in V
-3.0000E-06,1.40448E-01
-2.9992E-06,-5.96690E-02
-2.9984E-06,-2.15079E-01
-2.9976E-06,-3.27911E-01
-2.9968E-06,-4.04552E-01
-2.9960E-06,-4.32228E-01
-2.9952E-06,-4.53517E-01
-2.9944E-06,-4.66290E-01
-2.9936E-06,-4.68419E-01
-2.9928E-06,-4.70548E-01
-2.9920E-06,-4.70548E-01
-2.9912E-06,-4.76935E-01
-2.9904E-06,-4.72677E-01
-2.9896E-06,-4.79064E-01
-2.9888E-06,-4.74806E-01
-2.9880E-06,-4.85450E-01
-2.9872E-06,-4.85450E-01
-2.9864E-06,-4.85450E-01
-2.9856E-06,-4.85450E-01
-2.9848E-06,-4.79064E-01
-2.9840E-06,-4.83321E-01
-2.9832E-06,-4.85450E-01
-2.9824E-06,-4.87579E-01
-2.9816E-06,-4.89708E-01
-2.9808E-06,-4.83321E-01
-2.9800E-06,-4.81192E-01
-2.9792E-06,-4.87579E-01
-2.9784E-06,-4.89708E-01
-2.9776E-06,-4.93966E-01
-2.9768E-06,-4.91837E-01
-2.9760E-06,-4.85450E-01
-2.9752E-06,-4.91837E-01
-2.9744E-06,-4.89708E-01
-2.9736E-06,-4.87579E-01
-2.9728E-06,-4.93966E-01
-2.9720E-06,-4.91837E-01
-2.9712E-06,-4.91837E-01
-2.9704E-06,-4.96095E-01
-2.9696E-06,-4.87579E-01
-2.9688E-06,-4.89708E-01
-2.9680E-06,-4.85450E-01
-2.9672E-06,-4.91837E-01
-2.9664E-06,-4.93966E-01
-2.9656E-06,-4.79064E-01
-2.9648E-06,-4.83321E-01
-2.9640E-06,-4.81192E-01
-2.9632E-06,-4.79064E-01
-2.9624E-06,-4.83321E-01
-2.9616E-06,-4.79064E-01
-2.9608E-06,-4.81192E-01
-2.9600E-06,-4.85450E-01
-2.9592E-06,-4.83321E-01
-2.9584E-06,-4.81192E-01
-2.9576E-06,-4.81192E-01
-2.9568E-06,-4.83321E-01
-2.9560E-06,-4.91837E-01
-2.9552E-06,-4.87579E-01
-2.9544E-06,-4.81192E-01
-2.9536E-06,-4.79064E-01
-2.9528E-06,-4.79064E-01
-2.9520E-06,-4.83321E-01
-2.9512E-06,-4.83321E-01
-2.9504E-06,-4.85450E-01
-2.9496E-06,-4.79064E-01
-2.9488E-06,-4.79064E-01
-2.9480E-06,-4.81192E-01
-2.9472E-06,-4.81192E-01
-2.9464E-06,-4.81192E-01
-2.9456E-06,-4.85450E-01
-2.9448E-06,-4.83321E-01
-2.9440E-06,-4.81192E-01
-2.9432E-06,-4.81192E-01
-2.9424E-06,-4.76935E-01
-2.9416E-06,-4.83321E-01
-2.9408E-06,-4.79064E-01
-2.9400E-06,-4.74806E-01
-2.9392E-06,-4.91837E-01
-2.9384E-06,-4.85450E-01
-2.9376E-06,-4.83321E-01
-2.9368E-06,-4.83321E-01
-2.9360E-06,-4.83321E-01
-2.9352E-06,-4.79064E-01
-2.9344E-06,-4.85450E-01
-2.9336E-06,-4.85450E-01
-2.9328E-06,-4.87579E-01
-2.9320E-06,-4.85450E-01
-2.9312E-06,-4.89708E-01
-2.9304E-06,-4.85450E-01
-2.9296E-06,-4.85450E-01
-2.9288E-06,-4.81192E-01
-2.9280E-06,-4.83321E-01
-2.9272E-06,-4.87579E-01
-2.9264E-06,-4.87579E-01
-2.9256E-06,-4.91837E-01
-2.9248E-06,-4.85450E-01
-2.9240E-06,-4.81192E-01
-2.9232E-06,-4.79064E-01
-2.9224E-06,-4.83321E-01
-2.9216E-06,-4.79064E-01
-2.9208E-06,-4.79064E-01
-2.9200E-06,-4.76935E-01
-2.9192E-06,-4.81192E-01
-2.9184E-06,-4.87579E-01
-2.9176E-06,-4.89708E-01
-2.9168E-06,-4.81192E-01
-2.9160E-06,-4.76935E-01
-2.9152E-06,-4.87579E-01
-2.9144E-06,-4.85450E-01
-2.9136E-06,-4.85450E-01
-2.9128E-06,-4.85450E-01
-2.9120E-06,-4.79064E-01
-2.9112E-06,-4.79064E-01
-2.9104E-06,-4.87579E-01
-2.9096E-06,-4.81192E-01
-2.9088E-06,-4.91837E-01
-2.9080E-06,-4.85450E-01
-2.9072E-06,-4.74806E-01
-2.9064E-06,-4.85450E-01
-2.9056E-06,-4.79064E-01
-2.9048E-06,-4.85450E-01
-2.9040E-06,-4.79064E-01
-2.9032E-06,-4.79064E-01
