in s,C1 in V
-2.9268E-06,-3.14195E-03
-2.9264E-06,-3.08336E-03
-2.9260E-06,-2.98570E-03
-2.9256E-06,-2.92711E-03
-2.9252E-06,-2.77086E-03
-2.9248E-06,-2.65367E-03
-2.9244E-06,-2.63414E-03
-2.9240E-06,-2.49742E-03
-2.9236E-06,-2.51695E-03
-2.9232E-06,-2.43883E-03
-2.9228E-06,-2.45836E-03
-2.9224E-06,-2.26305E-03
-2.9220E-06,-2.18492E-03
-2.9216E-06,-2.14586E-03
-2.9212E-06,-2.04820E-03
-2.9208E-06,-2.02867E-03
-2.9204E-06,-1.89195E-03
-2.9200E-06,-1.85289E-03
-2.9196E-06,-1.81383E-03
-2.9192E-06,-1.69664E-03
-2.9188E-06,-1.48180E-03
-2.9184E-06,-1.48180E-03
-2.9180E-06,-1.28648E-03
-2.9176E-06,-1.18883E-03
-2.9172E-06,-1.05211E-03
-2.9168E-06,-1.03258E-03
-2.9164E-06,-7.78672E-04
-2.9160E-06,-7.20078E-04
-2.9156E-06,-5.05234E-04
-2.9152E-06,-4.85703E-04
-2.9148E-06,-3.48984E-04
-2.9144E-06,-3.68516E-04
-2.9140E-06,-2.31797E-04
-2.9136E-06,-1.53672E-04
-2.9132E-06,-1.69531E-05
-2.9128E-06,-9.50781E-05
-2.9124E-06,8.07031E-05
-2.9120E-06,-3.64844E-05
-2.9116E-06,-1.69531E-05
-2.9112E-06,-2.51328E-04
-2.9108E-06,-4.07578E-04
-2.9104E-06,-6.41953E-04
-2.9100E-06,-9.15391E-04
-2.9096E-06,-1.28648E-03
-2.9092E-06,-1.65758E-03
-2.9088E-06,-1.91148E-03
-2.9084E-06,-1.98961E-03
-2.9080E-06,-2.00914E-03
-2.9076E-06,-2.06773E-03
-2.9072E-06,-2.08727E-03
-2.9068E-06,-2.12633E-03
-2.9064E-06,-2.18492E-03
-2.9060E-06,-2.22398E-03
-2.9056E-06,-2.32164E-03
-2.9052E-06,-2.24352E-03
-2.9048E-06,-2.26305E-03
