frequency_hz,amplitude_dbm
-8.000000000000000000e+07,-1.098299980163574219e+01
-7.875000000000000000e+07,-1.870000064373016357e-01
-7.750000000000000000e+07,5.978000164031982422e+00
-7.625000000000000000e+07,6.901000022888183594e+00
-7.500000000000000000e+07,9.300000071525573730e-01
-7.375000000000000000e+07,-5.901000022888183594e+00
-7.250000000000000000e+07,-1.361600017547607422e+01
-7.125000000000000000e+07,-1.087199974060058594e+01
-7.000000000000000000e+07,-9.123000144958496094e+00
-6.875000000000000000e+07,-1.493700027465820312e+01
-6.750000000000000000e+07,-2.270199966430664062e+01
-6.625000000000000000e+07,-1.832600021362304688e+01
-6.500000000000000000e+07,-1.023400020599365234e+01
-6.375000000000000000e+07,-9.149999618530273438e+00
-6.250000000000000000e+07,-1.440400028228759766e+01
-6.125000000000000000e+07,-2.334000015258789062e+01
-6.000000000000000000e+07,-2.131200027465820312e+01
-5.875000000000000000e+07,-1.199699974060058594e+01
-5.750000000000000000e+07,-1.046899986267089844e+01
-5.625000000000000000e+07,-1.566100025177001953e+01
-5.500000000000000000e+07,-2.438699913024902344e+01
-5.375000000000000000e+07,-2.493799972534179688e+01
-5.250000000000000000e+07,-1.457100009918212891e+01
-5.125000000000000000e+07,-1.299899959564208984e+01
-5.000000000000000000e+07,-1.836100006103515625e+01
-4.875000000000000000e+07,-2.686800003051757812e+01
-4.750000000000000000e+07,-2.858900070190429688e+01
-4.625000000000000000e+07,-1.908399963378906250e+01
-4.500000000000000000e+07,-1.703800010681152344e+01
-4.375000000000000000e+07,-2.298900032043457031e+01
-4.250000000000000000e+07,-3.152199935913085938e+01
-4.125000000000000000e+07,-3.517699813842773438e+01
-4.000000000000000000e+07,-2.765099906921386719e+01
-3.875000000000000000e+07,-2.478100013732910156e+01
-3.750000000000000000e+07,-3.356399917602539062e+01
-3.625000000000000000e+07,-3.275400161743164062e+01
-3.500000000000000000e+07,-3.024900054931640625e+01
-3.375000000000000000e+07,-3.827099990844726562e+01
-3.250000000000000000e+07,-3.963299942016601562e+01
-3.125000000000000000e+07,-3.642599868774414062e+01
-3.000000000000000000e+07,-2.841600036621093750e+01
-2.875000000000000000e+07,-3.285800170898437500e+01
-2.750000000000000000e+07,-3.556000137329101562e+01
-2.625000000000000000e+07,-3.175499916076660156e+01
-2.500000000000000000e+07,-3.813999938964843750e+01
-2.375000000000000000e+07,-3.666699981689453125e+01
-2.250000000000000000e+07,-3.786000061035156250e+01
-2.125000000000000000e+07,-2.789500045776367188e+01
-2.000000000000000000e+07,-2.336100006103515625e+01
-1.875000000000000000e+07,-2.869899940490722656e+01
-1.750000000000000000e+07,-3.568299865722656250e+01
-1.625000000000000000e+07,-3.495199966430664062e+01
-1.500000000000000000e+07,-2.499200057983398438e+01
-1.375000000000000000e+07,-2.132299995422363281e+01
-1.250000000000000000e+07,-2.631900024414062500e+01
-1.125000000000000000e+07,-3.449100112915039062e+01
-1.000000000000000000e+07,-3.467900085449218750e+01
-8.750000000000000000e+06,-2.506699943542480469e+01
-7.500000000000000000e+06,-2.239500045776367188e+01
-6.250000000000000000e+06,-2.895100021362304688e+01
-5.000000000000000000e+06,-3.819900131225585938e+01
-3.750000000000000000e+06,-4.359000015258789062e+01
-2.500000000000000000e+06,-4.313100051879882812e+01
-1.250000000000000000e+06,-3.116399955749511719e+01
0.000000000000000000e+00,-2.179899978637695312e+01
1.250000000000000000e+06,-2.951399993896484375e+01
2.500000000000000000e+06,-3.735699844360351562e+01
3.750000000000000000e+06,-3.931600189208984375e+01
5.000000000000000000e+06,-3.751900100708007812e+01
6.250000000000000000e+06,-3.480300140380859375e+01
7.500000000000000000e+06,-2.473800086975097656e+01
8.750000000000000000e+06,-2.337400054931640625e+01
1.000000000000000000e+07,-2.939800071716308594e+01
1.125000000000000000e+07,-3.554700088500976562e+01
1.250000000000000000e+07,-3.176199913024902344e+01
1.375000000000000000e+07,-2.317900085449218750e+01
1.500000000000000000e+07,-2.295199966430664062e+01
1.625000000000000000e+07,-2.965800094604492188e+01
1.750000000000000000e+07,-3.673500061035156250e+01
1.875000000000000000e+07,-3.486600112915039062e+01
2.000000000000000000e+07,-2.539599990844726562e+01
2.125000000000000000e+07,-2.571599960327148438e+01
2.250000000000000000e+07,-3.456600189208984375e+01
2.375000000000000000e+07,-3.762500000000000000e+01
2.500000000000000000e+07,-4.147600173950195312e+01
2.625000000000000000e+07,-3.461899948120117188e+01
2.750000000000000000e+07,-3.587900161743164062e+01
2.875000000000000000e+07,-3.673699951171875000e+01
3.000000000000000000e+07,-2.854299926757812500e+01
3.125000000000000000e+07,-3.262300109863281250e+01
3.250000000000000000e+07,-4.116799926757812500e+01
3.375000000000000000e+07,-4.252500152587890625e+01
3.500000000000000000e+07,-3.299399948120117188e+01
3.625000000000000000e+07,-3.010799980163574219e+01
3.750000000000000000e+07,-3.449900054931640625e+01
3.875000000000000000e+07,-2.701899909973144531e+01
4.000000000000000000e+07,-2.540600013732910156e+01
4.125000000000000000e+07,-3.356600189208984375e+01
4.250000000000000000e+07,-3.661899948120117188e+01
4.375000000000000000e+07,-2.950000000000000000e+01
4.500000000000000000e+07,-1.926199913024902344e+01
4.625000000000000000e+07,-1.741200065612792969e+01
4.750000000000000000e+07,-2.370800018310546875e+01
4.875000000000000000e+07,-2.991699981689453125e+01
5.000000000000000000e+07,-2.411700057983398438e+01
5.125000000000000000e+07,-1.514799976348876953e+01
5.250000000000000000e+07,-1.319699954986572266e+01
5.375000000000000000e+07,-1.853499984741210938e+01
5.500000000000000000e+07,-2.612700080871582031e+01
5.625000000000000000e+07,-2.086899948120117188e+01
5.750000000000000000e+07,-1.269999980926513672e+01
5.875000000000000000e+07,-1.077600002288818359e+01
6.000000000000000000e+07,-1.593799972534179688e+01
6.125000000000000000e+07,-2.414900016784667969e+01
6.250000000000000000e+07,-1.992000007629394531e+01
6.375000000000000000e+07,-1.126200008392333984e+01
6.500000000000000000e+07,-9.173999786376953125e+00
6.625000000000000000e+07,-1.446599960327148438e+01
6.750000000000000000e+07,-2.292300033569335938e+01
6.875000000000000000e+07,-2.040900039672851562e+01
7.000000000000000000e+07,-1.064299964904785156e+01
7.125000000000000000e+07,-8.812999725341796875e+00
7.250000000000000000e+07,-1.708900070190429688e+01
7.375000000000000000e+07,-1.389900016784667969e+01
7.500000000000000000e+07,-2.342000007629394531e+00
7.625000000000000000e+07,3.967999935150146484e+00
7.750000000000000000e+07,8.130000114440917969e+00
7.875000000000000000e+07,3.006999969482421875e+00
8.000000000000000000e+07,-3.411999940872192383e+00
8.125000000000000000e+07,-1.124499988555908203e+01
