frequency_hz,amplitude_dbm
-8.000000000000000000e+07,-1.372500038146972656e+01
-7.875000000000000000e+07,-4.962999820709228516e+00
-7.750000000000000000e+07,2.401000022888183594e+00
-7.625000000000000000e+07,2.257999897003173828e+00
-7.500000000000000000e+07,-3.717000007629394531e+00
-7.375000000000000000e+07,-1.397599983215332031e+01
-7.250000000000000000e+07,-8.812999725341796875e+00
-7.125000000000000000e+07,-1.422000050544738770e+00
-7.000000000000000000e+07,-1.269000053405761719e+00
-6.875000000000000000e+07,-6.468999862670898438e+00
-6.750000000000000000e+07,-1.317099952697753906e+01
-6.625000000000000000e+07,-2.001799964904785156e+01
-6.500000000000000000e+07,-2.676000022888183594e+01
-6.375000000000000000e+07,-3.539300155639648438e+01
-6.250000000000000000e+07,-3.769699859619140625e+01
-6.125000000000000000e+07,-2.735799980163574219e+01
-6.000000000000000000e+07,-1.810600090026855469e+01
-5.875000000000000000e+07,-1.134799957275390625e+01
-5.750000000000000000e+07,-1.042700004577636719e+01
-5.625000000000000000e+07,-1.590400028228759766e+01
-5.500000000000000000e+07,-2.364599990844726562e+01
-5.375000000000000000e+07,-3.179800033569335938e+01
-5.250000000000000000e+07,-3.871599960327148438e+01
-5.125000000000000000e+07,-4.482799911499023438e+01
-5.000000000000000000e+07,-4.391500091552734375e+01
-4.875000000000000000e+07,-3.291999816894531250e+01
-4.750000000000000000e+07,-2.320700073242187500e+01
-4.625000000000000000e+07,-1.621100044250488281e+01
-4.500000000000000000e+07,-1.494099998474121094e+01
-4.375000000000000000e+07,-2.088400077819824219e+01
-4.250000000000000000e+07,-3.013500022888183594e+01
-4.125000000000000000e+07,-3.321599960327148438e+01
-4.000000000000000000e+07,-3.855799865722656250e+01
-3.875000000000000000e+07,-4.447100067138671875e+01
-3.750000000000000000e+07,-4.568600082397460938e+01
-3.625000000000000000e+07,-3.671699905395507812e+01
-3.500000000000000000e+07,-2.674600028991699219e+01
-3.375000000000000000e+07,-1.953899955749511719e+01
-3.250000000000000000e+07,-1.805999946594238281e+01
-3.125000000000000000e+07,-2.480500030517578125e+01
-3.000000000000000000e+07,-3.103199958801269531e+01
-2.875000000000000000e+07,-2.974699974060058594e+01
-2.750000000000000000e+07,-3.480099868774414062e+01
-2.625000000000000000e+07,-4.210200119018554688e+01
-2.500000000000000000e+07,-4.562599945068359375e+01
-2.375000000000000000e+07,-3.985900115966796875e+01
-2.250000000000000000e+07,-2.952599906921386719e+01
-2.125000000000000000e+07,-2.220199966430664062e+01
-2.000000000000000000e+07,-2.058799934387207031e+01
-1.875000000000000000e+07,-2.842399978637695312e+01
-1.750000000000000000e+07,-3.097100067138671875e+01
-1.625000000000000000e+07,-2.705900001525878906e+01
-1.500000000000000000e+07,-3.216400146484375000e+01
-1.375000000000000000e+07,-3.875899887084960938e+01
-1.250000000000000000e+07,-4.536299896240234375e+01
-1.125000000000000000e+07,-4.293399810791015625e+01
-1.000000000000000000e+07,-3.216199874877929688e+01
-8.750000000000000000e+06,-2.448699951171875000e+01
-7.500000000000000000e+06,-2.312500000000000000e+01
-6.250000000000000000e+06,-3.107099914550781250e+01
-5.000000000000000000e+06,-2.799500083923339844e+01
-3.750000000000000000e+06,-2.689599990844726562e+01
-2.500000000000000000e+06,-3.201100158691406250e+01
-1.250000000000000000e+06,-2.526099967956542969e+01
0.000000000000000000e+00,-1.930999946594238281e+01
1.250000000000000000e+06,-2.237500000000000000e+01
2.500000000000000000e+06,-3.119099998474121094e+01
3.750000000000000000e+06,-3.048100090026855469e+01
5.000000000000000000e+06,-2.717399978637695312e+01
6.250000000000000000e+06,-3.244900131225585938e+01
7.500000000000000000e+06,-2.583399963378906250e+01
8.750000000000000000e+06,-2.342300033569335938e+01
1.000000000000000000e+07,-2.832399940490722656e+01
1.125000000000000000e+07,-3.465800094604492188e+01
1.250000000000000000e+07,-4.216299819946289062e+01
1.375000000000000000e+07,-4.542699813842773438e+01
1.500000000000000000e+07,-3.683000183105468750e+01
1.625000000000000000e+07,-2.907600021362304688e+01
1.750000000000000000e+07,-2.812700080871582031e+01
1.875000000000000000e+07,-3.185799980163574219e+01
2.000000000000000000e+07,-2.325799942016601562e+01
2.125000000000000000e+07,-2.108300018310546875e+01
2.250000000000000000e+07,-2.589100074768066406e+01
2.375000000000000000e+07,-3.227500152587890625e+01
2.500000000000000000e+07,-3.931999969482421875e+01
2.625000000000000000e+07,-4.486999893188476562e+01
2.750000000000000000e+07,-3.927799987792968750e+01
2.875000000000000000e+07,-3.100900077819824219e+01
