x, y
3.199253183930214e-7, 0.04125478376005761
3.4184309641687807e-7, 0.0519011615553862
3.5778330552594773e-7, 0.06787075363134606
3.68742194537876e-7, 0.08650190208168791
3.806974083763627e-7, 0.10114071597045689
3.936487950235825e-7, 0.12642585688862082
4.056040088620691e-7, 0.1450570561048964
4.1556664905635175e-7, 0.16102664818085627
4.2552928925063434e-7, 0.17699618949088242
4.374844270802084e-7, 0.1929657815668423
4.47447067274491e-7, 0.21026615182999314
4.6239102756591485e-7, 0.2302281292334595
4.76338739039693e-7, 0.25019010663692604
4.88293876869267e-7, 0.2688213058532015
4.96264019428258e-7, 0.2821292907888458
5.11207979719682e-7, 0.2954372757244902
5.211706199139646e-7, 0.31539925312795664
5.34122082570097e-7, 0.3326996233911075
5.510585404968124e-7, 0.34866921546706736
5.620174295087406e-7, 0.36064642221552073
5.749688921648731e-7, 0.373954407151165
5.919053500915884e-7, 0.3952471627418224
6.058530615653664e-7, 0.40456276234996014
6.168119505772948e-7, 0.421863132613111
6.287671644157816e-7, 0.4311787322212487
6.367372309658602e-7, 0.43916350287626177
6.466998711601426e-7, 0.44581749534408394
6.556662625367795e-7, 0.4551330949522217
6.666251515487079e-7, 0.4644486945603595
6.745952941076989e-7, 0.4657794981305173
6.855541831196273e-7, 0.47509507235568815
6.965130721315557e-7, 0.48307981762773433
7.09464534787688e-7, 0.49771865689947026
7.244084950791118e-7, 0.5070342311246411
7.393524553705357e-7, 0.5230037724346672
7.483188467471726e-7, 0.5296577649024895
7.552926644796054e-7, 0.5363117573703116
7.65255304673888e-7, 0.5442966041742252
7.762141936858163e-7, 0.5522813748292383
7.901619051595944e-7, 0.5602661708672183
8.061021142686641e-7, 0.5722433522327047
8.180573281071506e-7, 0.5735741558028626
8.290162171190789e-7, 0.5762357121772445
8.439601774105029e-7, 0.5842205589811581
8.57907888884281e-7, 0.596197689580711
8.678705290785637e-7, 0.6134981106097955
8.838107381876332e-7, 0.6174905213202688
8.987546984790571e-7, 0.6214829066477754
9.107098363086312e-7, 0.6188212995074598
9.25653796600055e-7, 0.6121673070396377
9.326276903414003e-7, 0.5988593221039933
9.376090104385417e-7, 0.5868821407385069
9.42590330535683e-7, 0.5775665665133359
9.505603970857614e-7, 0.5642585815776918
9.60523037280044e-7, 0.5496197423059559
9.655043573771854e-7, 0.5363117573703116
9.734744999361764e-7, 0.5176806343029366
9.824408153039006e-7, 0.499049460469628
9.9140728268945e-7, 0.484410671963826
9.983811004218829e-7, 0.468441079887866
0.0000010043587453455825, 0.4498098552886236
0.0000010123287358867484, 0.4285171250809331
0.0000010173100559838895, 0.40589354053715104
0.0000010232877009075893, 0.38992394846119116
0.0000010302615186400222, 0.3712928000108494
0.0000010382316611990132, 0.35133082260738296
0.0000010422166564695961, 0.3220532455957787
0.0000010511831238551457, 0.30342204637950326
0.000001053175621490437, 0.2847908979291615
0.0000010581569415875786, 0.264828920525695
0.0000010621419368581613, 0.242205335981913
0.0000010661270841465696, 0.22756657285907772
0.0000010701120794171523, 0.21159698078311776
0.0000010770858971495854, 0.1823193022396461
0.0000010740972267055606, 0.1929657815668423
0.0000010850560397085764, 0.15171104857271847
0.0000010850560397085764, 0.15171104857271847
0.0000010860523645351347, 0.1410646707773898
0.000001092029857441009, 0.12509507870142983
0.0000010800747196114349, 0.16634981169555366
0.0000010980075023647087, 0.10380227234483877
