frequency_hz,amplitude_dbm
-8.000000000000000000e+07,-9.000000357627868652e-02
-7.850000000000000000e+07,6.875999927520751953e+00
-7.700000000000000000e+07,1.032800006866455078e+01
-7.550000000000000000e+07,8.897999763488769531e+00
-7.400000000000000000e+07,2.723000049591064453e+00
-7.250000000000000000e+07,-4.440000057220458984e+00
-7.100000000000000000e+07,-1.217000007629394531e+01
-6.950000000000000000e+07,-2.076899909973144531e+01
-6.800000000000000000e+07,-3.220000076293945312e+01
-6.650000000000000000e+07,-4.506600189208984375e+01
-6.500000000000000000e+07,-5.615100097656250000e+01
-6.350000000000000000e+07,-5.734600067138671875e+01
-6.200000000000000000e+07,-5.808700180053710938e+01
-6.050000000000000000e+07,-5.817900085449218750e+01
-5.900000000000000000e+07,-5.769900131225585938e+01
-5.750000000000000000e+07,-5.717200088500976562e+01
-5.600000000000000000e+07,-5.728099822998046875e+01
-5.450000000000000000e+07,-5.670899963378906250e+01
-5.300000000000000000e+07,-5.742499923706054688e+01
-5.150000000000000000e+07,-5.779899978637695312e+01
-5.000000000000000000e+07,-5.712300109863281250e+01
-4.850000000000000000e+07,-5.803099822998046875e+01
-4.700000000000000000e+07,-5.708800125122070312e+01
-4.550000000000000000e+07,-5.743999862670898438e+01
-4.400000000000000000e+07,-5.812099838256835938e+01
-4.250000000000000000e+07,-5.704499816894531250e+01
-4.100000000000000000e+07,-5.708800125122070312e+01
-3.950000000000000000e+07,-5.807600021362304688e+01
-3.800000000000000000e+07,-5.764199829101562500e+01
-3.650000000000000000e+07,-5.851200103759765625e+01
-3.500000000000000000e+07,-5.708100128173828125e+01
-3.350000000000000000e+07,-5.736999893188476562e+01
-3.200000000000000000e+07,-5.708800125122070312e+01
-3.050000000000000000e+07,-5.755300140380859375e+01
-2.900000000000000000e+07,-5.748699951171875000e+01
-2.750000000000000000e+07,-5.713299942016601562e+01
-2.600000000000000000e+07,-5.747100067138671875e+01
-2.450000000000000000e+07,-5.850099945068359375e+01
-2.300000000000000000e+07,-5.807300186157226562e+01
-2.150000000000000000e+07,-5.760300064086914062e+01
-2.000000000000000000e+07,-5.750000000000000000e+01
-1.850000000000000000e+07,-5.818600082397460938e+01
-1.700000000000000000e+07,-5.772800064086914062e+01
-1.550000000000000000e+07,-5.782400131225585938e+01
-1.400000000000000000e+07,-5.740100097656250000e+01
-1.250000000000000000e+07,-5.619499969482421875e+01
-1.100000000000000000e+07,-5.732699966430664062e+01
-9.500000000000000000e+06,-5.803499984741210938e+01
-8.000000000000000000e+06,-5.793000030517578125e+01
-6.500000000000000000e+06,-5.840700149536132812e+01
-5.000000000000000000e+06,-4.316299819946289062e+01
-3.500000000000000000e+06,-3.086899948120117188e+01
-2.000000000000000000e+06,-2.147400093078613281e+01
-5.000000000000000000e+05,-1.743099975585937500e+01
1.000000000000000000e+06,-1.768199920654296875e+01
2.500000000000000000e+06,-2.135899925231933594e+01
4.000000000000000000e+06,-2.821999931335449219e+01
5.500000000000000000e+06,-3.578799819946289062e+01
7.000000000000000000e+06,-4.365800094604492188e+01
8.500000000000000000e+06,-5.450699996948242188e+01
1.000000000000000000e+07,-5.846900177001953125e+01
1.150000000000000000e+07,-5.851399993896484375e+01
1.300000000000000000e+07,-5.781100082397460938e+01
1.450000000000000000e+07,-5.790499877929687500e+01
1.600000000000000000e+07,-5.840100097656250000e+01
1.750000000000000000e+07,-5.689599990844726562e+01
1.900000000000000000e+07,-5.788600158691406250e+01
2.050000000000000000e+07,-5.787200164794921875e+01
2.200000000000000000e+07,-5.721799850463867188e+01
2.350000000000000000e+07,-5.765700149536132812e+01
2.500000000000000000e+07,-5.839199829101562500e+01
2.650000000000000000e+07,-5.852999877929687500e+01
2.800000000000000000e+07,-5.760200119018554688e+01
2.950000000000000000e+07,-5.793999862670898438e+01
3.100000000000000000e+07,-5.791400146484375000e+01
3.250000000000000000e+07,-5.884999847412109375e+01
3.400000000000000000e+07,-5.695800018310546875e+01
3.550000000000000000e+07,-5.810400009155273438e+01
3.700000000000000000e+07,-5.874700164794921875e+01
3.850000000000000000e+07,-5.864500045776367188e+01
4.000000000000000000e+07,-5.694499969482421875e+01
4.150000000000000000e+07,-5.658900070190429688e+01
4.300000000000000000e+07,-5.792900085449218750e+01
4.450000000000000000e+07,-5.707199859619140625e+01
4.600000000000000000e+07,-5.893399810791015625e+01
4.750000000000000000e+07,-5.804899978637695312e+01
4.900000000000000000e+07,-5.848300170898437500e+01
5.050000000000000000e+07,-5.833499908447265625e+01
5.200000000000000000e+07,-5.784700012207031250e+01
5.350000000000000000e+07,-5.747999954223632812e+01
5.500000000000000000e+07,-5.804000091552734375e+01
5.650000000000000000e+07,-5.830699920654296875e+01
5.800000000000000000e+07,-5.775799942016601562e+01
5.950000000000000000e+07,-5.813299942016601562e+01
6.100000000000000000e+07,-5.844699859619140625e+01
6.250000000000000000e+07,-5.805099868774414062e+01
6.400000000000000000e+07,-5.831100082397460938e+01
6.550000000000000000e+07,-5.704199981689453125e+01
6.700000000000000000e+07,-5.574100112915039062e+01
6.850000000000000000e+07,-5.459299850463867188e+01
7.000000000000000000e+07,-3.506000137329101562e+01
7.150000000000000000e+07,-1.954000091552734375e+01
7.300000000000000000e+07,-6.614999771118164062e+00
7.450000000000000000e+07,2.075999975204467773e+00
7.600000000000000000e+07,7.886000156402587891e+00
7.750000000000000000e+07,9.769000053405761719e+00
7.900000000000000000e+07,7.901999950408935547e+00
8.050000000000000000e+07,1.381000041961669922e+00
8.200000000000000000e+07,-5.806000232696533203e+00
8.350000000000000000e+07,-1.373900032043457031e+01
8.500000000000000000e+07,-2.294899940490722656e+01
8.650000000000000000e+07,-3.494900131225585938e+01
8.800000000000000000e+07,-4.883300018310546875e+01
8.950000000000000000e+07,-5.836100006103515625e+01
9.100000000000000000e+07,-5.769800186157226562e+01
9.250000000000000000e+07,-5.834000015258789062e+01
9.400000000000000000e+07,-5.680199813842773438e+01
9.550000000000000000e+07,-5.727899932861328125e+01
9.700000000000000000e+07,-5.748199844360351562e+01
9.850000000000000000e+07,-5.824300003051757812e+01
1.000000000000000000e+08,-5.591799926757812500e+01
1.015000000000000000e+08,-5.763499832153320312e+01
1.030000000000000000e+08,-5.832199859619140625e+01
1.045000000000000000e+08,-5.770700073242187500e+01
1.060000000000000000e+08,-5.749599838256835938e+01
1.075000000000000000e+08,-5.739300155639648438e+01
1.090000000000000000e+08,-5.847600173950195312e+01
1.105000000000000000e+08,-5.724000167846679688e+01
1.120000000000000000e+08,-5.812200164794921875e+01
1.135000000000000000e+08,-5.767300033569335938e+01
1.150000000000000000e+08,-5.821099853515625000e+01
1.165000000000000000e+08,-5.686999893188476562e+01
1.180000000000000000e+08,-5.901399993896484375e+01
1.195000000000000000e+08,-5.746900177001953125e+01
1.210000000000000000e+08,-5.896799850463867188e+01
1.225000000000000000e+08,-5.785599899291992188e+01
1.240000000000000000e+08,-5.709500122070312500e+01
1.255000000000000000e+08,-5.725099945068359375e+01
1.270000000000000000e+08,-5.836700057983398438e+01
1.285000000000000000e+08,-5.784400177001953125e+01
1.300000000000000000e+08,-5.772299957275390625e+01
1.315000000000000000e+08,-5.786999893188476562e+01
1.330000000000000000e+08,-5.796400070190429688e+01
1.345000000000000000e+08,-5.785400009155273438e+01
1.360000000000000000e+08,-5.771400070190429688e+01
1.375000000000000000e+08,-5.829199981689453125e+01
1.390000000000000000e+08,-5.761000061035156250e+01
1.405000000000000000e+08,-5.847000122070312500e+01
1.420000000000000000e+08,-5.831900024414062500e+01
1.435000000000000000e+08,-5.859999847412109375e+01
1.450000000000000000e+08,-5.807500076293945312e+01
1.465000000000000000e+08,-5.743600082397460938e+01
1.480000000000000000e+08,-5.864300155639648438e+01
1.495000000000000000e+08,-5.732799911499023438e+01
1.510000000000000000e+08,-4.554800033569335938e+01
1.525000000000000000e+08,-3.774900054931640625e+01
1.540000000000000000e+08,-3.556399917602539062e+01
1.555000000000000000e+08,-3.630099868774414062e+01
1.570000000000000000e+08,-4.072399902343750000e+01
1.585000000000000000e+08,-4.753300094604492188e+01
1.600000000000000000e+08,-5.628799819946289062e+01
1.615000000000000000e+08,-5.845800018310546875e+01
1.630000000000000000e+08,-5.888899993896484375e+01
1.645000000000000000e+08,-5.712500000000000000e+01
1.660000000000000000e+08,-5.685499954223632812e+01
1.675000000000000000e+08,-5.715200042724609375e+01
1.690000000000000000e+08,-5.751900100708007812e+01
1.705000000000000000e+08,-5.784700012207031250e+01
1.720000000000000000e+08,-5.826499938964843750e+01
1.735000000000000000e+08,-5.760200119018554688e+01
1.750000000000000000e+08,-5.784799957275390625e+01
1.765000000000000000e+08,-5.779100036621093750e+01
1.780000000000000000e+08,-5.766899871826171875e+01
1.795000000000000000e+08,-5.853400039672851562e+01
1.810000000000000000e+08,-5.742100143432617188e+01
1.825000000000000000e+08,-5.765700149536132812e+01
1.840000000000000000e+08,-5.650899887084960938e+01
1.855000000000000000e+08,-5.916400146484375000e+01
1.870000000000000000e+08,-5.658100128173828125e+01
1.885000000000000000e+08,-5.735599899291992188e+01
1.900000000000000000e+08,-5.902600097656250000e+01
1.915000000000000000e+08,-5.797999954223632812e+01
1.930000000000000000e+08,-5.729399871826171875e+01
1.945000000000000000e+08,-5.797000122070312500e+01
1.960000000000000000e+08,-5.737500000000000000e+01
1.975000000000000000e+08,-5.890800094604492188e+01
1.990000000000000000e+08,-5.827299880981445312e+01
2.005000000000000000e+08,-5.616999816894531250e+01
2.020000000000000000e+08,-5.847200012207031250e+01
2.035000000000000000e+08,-5.828599929809570312e+01
2.050000000000000000e+08,-5.808700180053710938e+01
2.065000000000000000e+08,-5.882500076293945312e+01
2.080000000000000000e+08,-5.910599899291992188e+01
2.095000000000000000e+08,-5.883599853515625000e+01
2.110000000000000000e+08,-5.766199874877929688e+01
2.125000000000000000e+08,-5.806900024414062500e+01
2.140000000000000000e+08,-5.838199996948242188e+01
2.155000000000000000e+08,-5.822399902343750000e+01
2.170000000000000000e+08,-5.827299880981445312e+01
2.185000000000000000e+08,-5.811899948120117188e+01
2.200000000000000000e+08,-5.821200180053710938e+01
2.215000000000000000e+08,-5.726100158691406250e+01
2.230000000000000000e+08,-5.777899932861328125e+01
2.245000000000000000e+08,-5.787400054931640625e+01
2.260000000000000000e+08,-5.784000015258789062e+01
2.275000000000000000e+08,-5.100000000000000000e+01
2.290000000000000000e+08,-4.169900131225585938e+01
2.305000000000000000e+08,-3.740399932861328125e+01
2.320000000000000000e+08,-3.728099822998046875e+01
2.335000000000000000e+08,-4.035900115966796875e+01
2.350000000000000000e+08,-4.656600189208984375e+01
2.365000000000000000e+08,-5.427199935913085938e+01
2.380000000000000000e+08,-5.845500183105468750e+01
2.395000000000000000e+08,-5.825699996948242188e+01
2.410000000000000000e+08,-5.723699951171875000e+01
2.425000000000000000e+08,-5.791999816894531250e+01
2.440000000000000000e+08,-5.786899948120117188e+01
2.455000000000000000e+08,-5.851800155639648438e+01
2.470000000000000000e+08,-5.847399902343750000e+01
2.485000000000000000e+08,-5.867499923706054688e+01
2.500000000000000000e+08,-5.732099914550781250e+01
2.515000000000000000e+08,-5.819300079345703125e+01
2.530000000000000000e+08,-5.837799835205078125e+01
2.545000000000000000e+08,-5.887699890136718750e+01
