frequency_hz,amplitude_dbm
-8.000000000000000000e+07,-6.700000166893005371e-02
-7.850000000000000000e+07,6.896999835968017578e+00
-7.700000000000000000e+07,1.012800025939941406e+01
-7.550000000000000000e+07,8.975999832153320312e+00
-7.400000000000000000e+07,2.686000108718872070e+00
-7.250000000000000000e+07,-4.448999881744384766e+00
-7.100000000000000000e+07,-1.215999984741210938e+01
-6.950000000000000000e+07,-2.072100067138671875e+01
-6.800000000000000000e+07,-3.215599822998046875e+01
-6.650000000000000000e+07,-4.470500183105468750e+01
-6.500000000000000000e+07,-5.603900146484375000e+01
-6.350000000000000000e+07,-5.676699829101562500e+01
-6.200000000000000000e+07,-5.725799942016601562e+01
-6.050000000000000000e+07,-5.704700088500976562e+01
-5.900000000000000000e+07,-5.737300109863281250e+01
-5.750000000000000000e+07,-5.765599822998046875e+01
-5.600000000000000000e+07,-5.761399841308593750e+01
-5.450000000000000000e+07,-5.796900177001953125e+01
-5.300000000000000000e+07,-5.655599975585937500e+01
-5.150000000000000000e+07,-5.594800186157226562e+01
-5.000000000000000000e+07,-5.640200042724609375e+01
-4.850000000000000000e+07,-5.795100021362304688e+01
-4.700000000000000000e+07,-5.750099945068359375e+01
-4.550000000000000000e+07,-5.820800018310546875e+01
-4.400000000000000000e+07,-5.747900009155273438e+01
-4.250000000000000000e+07,-5.727500152587890625e+01
-4.100000000000000000e+07,-5.559099960327148438e+01
-3.950000000000000000e+07,-5.644800186157226562e+01
-3.800000000000000000e+07,-5.701200103759765625e+01
-3.650000000000000000e+07,-5.745199966430664062e+01
-3.500000000000000000e+07,-5.838800048828125000e+01
-3.350000000000000000e+07,-5.710100173950195312e+01
-3.200000000000000000e+07,-5.710400009155273438e+01
-3.050000000000000000e+07,-5.675999832153320312e+01
-2.900000000000000000e+07,-5.630799865722656250e+01
-2.750000000000000000e+07,-5.657199859619140625e+01
-2.600000000000000000e+07,-5.854899978637695312e+01
-2.450000000000000000e+07,-5.768199920654296875e+01
-2.300000000000000000e+07,-5.762300109863281250e+01
-2.150000000000000000e+07,-5.735499954223632812e+01
-2.000000000000000000e+07,-5.714699935913085938e+01
-1.850000000000000000e+07,-5.816199874877929688e+01
-1.700000000000000000e+07,-5.777600097656250000e+01
-1.550000000000000000e+07,-5.645999908447265625e+01
-1.400000000000000000e+07,-5.699200057983398438e+01
-1.250000000000000000e+07,-5.637500000000000000e+01
-1.100000000000000000e+07,-5.735599899291992188e+01
-9.500000000000000000e+06,-5.727099990844726562e+01
-8.000000000000000000e+06,-5.617599868774414062e+01
-6.500000000000000000e+06,-5.702099990844726562e+01
-5.000000000000000000e+06,-4.286299896240234375e+01
-3.500000000000000000e+06,-3.079000091552734375e+01
-2.000000000000000000e+06,-2.146599960327148438e+01
-5.000000000000000000e+05,-1.738100051879882812e+01
1.000000000000000000e+06,-1.764800071716308594e+01
2.500000000000000000e+06,-2.138400077819824219e+01
4.000000000000000000e+06,-2.829000091552734375e+01
5.500000000000000000e+06,-3.586899948120117188e+01
7.000000000000000000e+06,-4.349900054931640625e+01
8.500000000000000000e+06,-5.332099914550781250e+01
1.000000000000000000e+07,-5.873600006103515625e+01
1.150000000000000000e+07,-5.803799819946289062e+01
1.300000000000000000e+07,-5.748799896240234375e+01
1.450000000000000000e+07,-5.758499908447265625e+01
1.600000000000000000e+07,-5.765200042724609375e+01
1.750000000000000000e+07,-5.856000137329101562e+01
1.900000000000000000e+07,-5.816699981689453125e+01
2.050000000000000000e+07,-5.826699829101562500e+01
2.200000000000000000e+07,-5.763199996948242188e+01
2.350000000000000000e+07,-5.774399948120117188e+01
2.500000000000000000e+07,-5.762900161743164062e+01
2.650000000000000000e+07,-5.721699905395507812e+01
2.800000000000000000e+07,-5.771500015258789062e+01
2.950000000000000000e+07,-5.716199874877929688e+01
3.100000000000000000e+07,-5.775899887084960938e+01
3.250000000000000000e+07,-5.893000030517578125e+01
3.400000000000000000e+07,-5.743999862670898438e+01
3.550000000000000000e+07,-5.828699874877929688e+01
3.700000000000000000e+07,-5.747100067138671875e+01
3.850000000000000000e+07,-5.686800003051757812e+01
4.000000000000000000e+07,-5.752700042724609375e+01
4.150000000000000000e+07,-5.704100036621093750e+01
4.300000000000000000e+07,-5.805899810791015625e+01
4.450000000000000000e+07,-5.779600143432617188e+01
4.600000000000000000e+07,-5.650899887084960938e+01
4.750000000000000000e+07,-5.800000000000000000e+01
4.900000000000000000e+07,-5.875899887084960938e+01
5.050000000000000000e+07,-5.731800079345703125e+01
5.200000000000000000e+07,-5.808499908447265625e+01
5.350000000000000000e+07,-5.757600021362304688e+01
5.500000000000000000e+07,-5.844599914550781250e+01
5.650000000000000000e+07,-5.847700119018554688e+01
5.800000000000000000e+07,-5.774599838256835938e+01
5.950000000000000000e+07,-5.734799957275390625e+01
6.100000000000000000e+07,-5.694300079345703125e+01
6.250000000000000000e+07,-5.664899826049804688e+01
6.400000000000000000e+07,-5.751200103759765625e+01
6.550000000000000000e+07,-5.740599822998046875e+01
6.700000000000000000e+07,-5.359000015258789062e+01
6.850000000000000000e+07,-5.323300170898437500e+01
7.000000000000000000e+07,-3.504899978637695312e+01
7.150000000000000000e+07,-1.951300048828125000e+01
7.300000000000000000e+07,-6.578000068664550781e+00
7.450000000000000000e+07,2.035000085830688477e+00
7.600000000000000000e+07,7.743000030517578125e+00
7.750000000000000000e+07,9.562000274658203125e+00
7.900000000000000000e+07,7.754000186920166016e+00
8.050000000000000000e+07,1.348999977111816406e+00
8.200000000000000000e+07,-5.808000087738037109e+00
8.350000000000000000e+07,-1.372299957275390625e+01
8.500000000000000000e+07,-2.284799957275390625e+01
8.650000000000000000e+07,-3.486999893188476562e+01
8.800000000000000000e+07,-4.822700119018554688e+01
8.950000000000000000e+07,-5.739300155639648438e+01
9.100000000000000000e+07,-5.723600006103515625e+01
9.250000000000000000e+07,-5.784400177001953125e+01
9.400000000000000000e+07,-5.806700134277343750e+01
9.550000000000000000e+07,-5.797800064086914062e+01
9.700000000000000000e+07,-5.815999984741210938e+01
9.850000000000000000e+07,-5.858200073242187500e+01
1.000000000000000000e+08,-5.666199874877929688e+01
1.015000000000000000e+08,-5.796699905395507812e+01
1.030000000000000000e+08,-5.790399932861328125e+01
1.045000000000000000e+08,-5.667699813842773438e+01
1.060000000000000000e+08,-5.848099899291992188e+01
1.075000000000000000e+08,-5.813800048828125000e+01
1.090000000000000000e+08,-5.635300064086914062e+01
1.105000000000000000e+08,-5.751399993896484375e+01
1.120000000000000000e+08,-5.740900039672851562e+01
1.135000000000000000e+08,-5.742399978637695312e+01
